county,page_type,steady_bytes,episode_bytes,min_bytes,shrink_pct,snapshots_in_episode,distinct_states_in_episode,changed_after,changed_by,restored_after,restored_by,min_duration_hours,max_duration_hours,episode_class,episode_evidence,returned_to_exact_prior_state
Duval,elections,4782,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Duval,homepage,2175,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Duval,polling,2718,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Duval,results,2860,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hillsborough,early_voting,5669,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hillsborough,elections,1967,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hillsborough,homepage,3218,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hillsborough,polling,3338,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hillsborough,results,4848,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Lake,early_voting,1414,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Lake,elections,1823,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Lake,homepage,2609,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Lake,polling,1754,0,0,100.0,1,1,2026-08-23T06:44:49+00:00,2026-08-23T08:32:03+00:00,2026-08-23T08:32:03+00:00,2026-08-23T09:30:28+00:00,0.0,2.8,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
